customer,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount,complaint_type1,complaint_type2,complaint_type3
HB20453,Oregon,Female,Bachelor,678127,36234,104,1/1/00,Personal Auto,Sports Car,982,1,1,0
BN87372,Oregon,Female,Bachelor,497480,75644,65,1/3/00,Personal Auto,Two-Door Car,467,1,3,0
YX23800,Oregon,Female,Bachelor,859160,38984,73,1/0/00,Personal Auto,Four-Door Car,350,1,0,0
DZ87709,Oregon,Female,High School or Below,559216,71811,71,1/0/00,Personal Auto,Four-Door Car,29,1,0,0
XW13033,Nevada,Female,College,800947,20961,67,1/0/00,Personal Auto,Four-Door Car,321,1,0,0
SP81997,Washington,Female,Master,0,41275,96,1/0/00,Personal Auto,Four-Door Car,41,1,0,0
OM82309,California,Female,Bachelor,5816655,61321,186,1/1/00,Personal Auto,Luxury Car,427,1,1,0
ZU35962,California,Female,College,802522,36234,77,1/0/00,Personal Auto,Two-Door Car,25,1,0,0
VH85817,California,Female,High School or Below,578018,51066,74,1/0/00,Personal Auto,Four-Door Car,787,1,0,0
DT85712,California,Female,Doctor,411853,34378,102,1/0/00,Personal Auto,SUV,489,1,0,0
YJ88573,Nevada,Female,Master,252307,43072,63,1/0/00,Personal Auto,Four-Door Car,302,1,0,0
SQ19467,Oregon,Female,College,655421,25222,90,1/0/00,Personal Auto,Four-Door Car,475,1,0,0
YB66933,Washington,Female,Bachelor,538275,77552,68,1/1/00,Corporate Auto,Four-Door Car,45,1,1,0
ET79815,California,Female,College,592672,23091,96,1/5/00,Personal Auto,Four-Door Car,460,1,5,0
QC35222,California,Female,Bachelor,268347,48269,69,1/3/00,Corporate Auto,Four-Door Car,282,1,3,0
CJ15590,Oregon,Female,Bachelor,269518,32720,67,1/0/00,Personal Auto,Four-Door Car,321,1,0,0
OI48267,California,Female,College,604702,20396,76,1/1/00,Personal Auto,Four-Door Car,364,1,1,0
JY67916,Oregon,Female,College,1317101,21513,119,1/1/00,Personal Auto,Two-Door Car,679,1,1,0
OW15518,Washington,Female,College,1595001,36234,87,1/1/00,Personal Auto,Two-Door Car,46,1,1,0
CZ33664,Oregon,Male,Bachelor,252765,80744,63,1/0/00,Corporate Auto,Four-Door Car,11,1,0,0
WK30175,Oregon,Male,Bachelor,267209,52822,67,1/0/00,Corporate Auto,Two-Door Car,350,1,0,0
ON44465,California,Male,High School or Below,531329,36234,77,1/1/00,Personal Auto,Four-Door Car,863,1,1,0
TV87155,Oregon,Male,Bachelor,2094619,69738,74,1/1/00,Personal Auto,Four-Door Car,492,1,1,0
KH48895,Arizona,Male,Master,837535,17780,109,1/0/00,Personal Auto,SUV,132,1,0,0
NZ30757,California,Male,Bachelor,480166,18107,62,1/0/00,Personal Auto,Four-Door Car,297,1,0,0
RI22468,Arizona,Male,Bachelor,574594,57740,74,1/3/00,Personal Auto,Four-Door Car,269,1,3,0
FZ30935,Oregon,Male,College,606611,32627,76,1/0/00,Personal Auto,Two-Door Car,380,1,0,0
UG93476,California,Male,College,800230,36234,107,1/0/00,Personal Auto,SUV,513,1,0,0
AB96670,California,Male,College,239391,36234,70,1/0/00,Personal Auto,Four-Door Car,425,1,0,0
XK64261,Oregon,Male,Bachelor,476281,65795,62,1/1/00,Corporate Auto,Two-Door Car,49,1,1,0
EV68375,California,Male,College,433038,60475,107,1/0/00,Personal Auto,Four-Door Car,513,1,0,0
UN51653,California,Male,High School or Below,940272,36234,130,1/0/00,Personal Auto,SUV,936,1,0,0
TO96662,Oregon,Male,Bachelor,696669,41837,88,1/0/00,Personal Auto,Four-Door Car,142,1,0,0
MR52087,California,Male,Bachelor,769406,32303,65,1/0/00,Personal Auto,Four-Door Car,45,1,0,0
DE75225,Oregon,Male,High School or Below,871756,36234,117,1/1/00,Personal Auto,SUV,561,1,1,0
EP80820,California,Male,Bachelor,592874,40531,74,1/0/00,Personal Auto,Two-Door Car,30,1,0,0
GU99037,Oregon,Male,College,245297,79898,62,1/1/00,Corporate Auto,Four-Door Car,271,1,1,0
WI57118,California,Male,College,670157,56398,85,1/0/00,Personal Auto,Four-Door Car,408,1,0,0
GP39118,Washington,Male,High School or Below,499655,71600,63,1/0/00,Personal Auto,Two-Door Car,46,1,0,0
MQ14219,Arizona,Female,College,849269,27804,109,1/0/00,Personal Auto,SUV,784,1,0,0
KN20603,Oregon,Female,Bachelor,771349,45506,66,1/2/00,Personal Auto,Four-Door Car,316,1,2,0
SG20925,Washington,Female,Master,518579,99428,6464,1/1/00,Personal Auto,Four-Door Car,48,1,1,0
JI70886,California,Female,High School or Below,729006,36234,102,1/1/00,Corporate Auto,SUV,489,1,1,0
VF72557,Oregon,Female,High School or Below,477294,20993,133,1/0/00,Personal Auto,SUV,638,1,0,0
OX28638,Arizona,Female,High School or Below,680649,37839,86,1/0/00,Personal Auto,Two-Door Car,465,1,0,0
SK55033,California,Female,Bachelor,246978,92711,62,1/0/00,Personal Auto,Two-Door Car,368,1,0,0
OO88645,California,Female,College,310392,74665,78,1/2/00,Corporate Auto,Four-Door Car,236,1,2,0
FM14335,Washington,Female,College,1048491,61108,89,1/0/00,Personal Auto,Four-Door Car,49,1,0,0
CW82151,California,Female,Bachelor,890273,46833,112,1/0/00,Personal Auto,Sports Car,64,1,0,0
DY22043,Oregon,Female,High School or Below,549944,88768,68,1/0/00,Personal Auto,Two-Door Car,326,1,0,0
SH36774,California,Female,High School or Below,1502359,28262,192,1/0/00,Personal Auto,Luxury SUV,921,1,0,0
EM43724,Nevada,Female,Bachelor,250910,33555,63,1/0/00,Personal Auto,Four-Door Car,101,1,0,0
FH85960,Oregon,Female,College,3122174,42780,113,1/1/00,Personal Auto,Four-Door Car,542,1,1,0
XA55993,Oregon,Female,Master,313350,58850,78,1/0/00,Personal Auto,Four-Door Car,143,1,0,0
GO36627,Arizona,Female,College,383745,21880,97,1/0/00,Special Auto,Four-Door Car,424,1,0,0
QH48047,Oregon,Female,College,1179049,25251,66,1/0/00,Personal Auto,Four-Door Car,316,1,0,0
HS28694,Washington,Female,High School or Below,282986,25317,71,1/0/00,Personal Auto,Two-Door Car,50,1,0,0
UH65059,Arizona,Female,High School or Below,430580,24188,109,1/0/00,Personal Auto,Sports Car,523,1,0,0
FV21968,Nevada,Female,Bachelor,597397,41611,74,1/0/00,Special Auto,Four-Door Car,113,1,0,0
QA87025,Oregon,Female,Bachelor,567044,28406,72,1/1/00,Personal Auto,Four-Door Car,192,1,1,0
TQ13499,Arizona,Female,College,473174,69833,118,1/0/00,Personal Auto,Four-Door Car,828,1,0,0
BU44523,Arizona,Female,High School or Below,802637,36234,74,1/0/00,Corporate Auto,Four-Door Car,532,1,0,0
MS41162,Arizona,Female,High School or Below,402296,36234,117,1/0/00,Personal Auto,SUV,975,1,0,0
PU25891,Oregon,Female,High School or Below,961831,80536,119,1/0/00,Special Auto,Sports Car,53,1,0,0
LH92841,Washington,Female,Bachelor,725595,88891,89,1/0/00,Personal Auto,Four-Door Car,50,1,0,0
SX26335,Oregon,Female,College,955292,97732,79,1/0/00,Personal Auto,Four-Door Car,289,1,0,0
AZ95587,Arizona,Female,Bachelor,1038855,61222,89,1/0/00,Special Auto,Four-Door Car,392,1,0,0
DS81757,Oregon,Male,College,247012,36234,74,1/0/00,Personal Auto,Two-Door Car,721,1,0,0
OJ94107,Arizona,Male,Master,561906,50335,140,1/0/00,Personal Auto,SUV,456,1,0,0
LP84436,California,Female,High School or Below,904711,36234,127,1/0/00,Personal Auto,Sports Car,1087,1,0,0
FF22360,Washington,Female,Doctor,268731,82210,68,1/4/00,Personal Auto,Four-Door Car,51,1,4,0
LM19287,Oregon,Female,High School or Below,373150,36234,96,1/0/00,Personal Auto,Four-Door Car,460,1,0,0
ZU18643,Nevada,Male,Bachelor,366077,64495,92,1/0/00,Corporate Auto,Four-Door Car,251,1,0,0
AZ82578,California,Female,College,792882,36234,72,1/0/00,Corporate Auto,Four-Door Car,345,1,0,0
XC67861,Arizona,Female,Bachelor,501175,28859,67,1/3/00,Corporate Auto,Two-Door Car,321,1,3,0
YC43143,Arizona,Female,High School or Below,798825,77330,99,1/0/00,Personal Auto,Four-Door Car,99,1,0,0
EK59571,Oregon,Male,College,388545,36234,105,1/0/00,Corporate Auto,Four-Door Car,504,1,0,0
PA38372,Washington,Female,High School or Below,935773,33060,117,1/0/00,Personal Auto,Four-Door Car,56,1,0,0
RO18530,Washington,Male,Master,254068,42557,65,1/0/00,Personal Auto,Four-Door Car,57,1,0,0
PD27940,Arizona,Male,High School or Below,488516,26372,126,1/0/00,Personal Auto,SUV,604,1,0,0
BS77946,Arizona,Female,Bachelor,975330,17514,127,1/0/00,Personal Auto,SUV,8,1,0,0
YM50253,California,Female,Bachelor,294615,89270,74,1/0/00,Personal Auto,Four-Door Car,316,1,0,0
NR15332,California,Male,High School or Below,258111,29757,65,1/0/00,Personal Auto,Four-Door Car,312,1,0,0
RC62865,Oregon,Male,College,351738,51814,92,1/0/00,Personal Auto,Four-Door Car,56,1,0,0
CC15295,Oregon,Female,Bachelor,974335,24028,82,1/0/00,Personal Auto,Four-Door Car,393,1,0,0
KA61892,Arizona,Male,College,387364,28142,105,1/0/00,Personal Auto,Sports Car,701,1,0,0
OS94884,Arizona,Female,Bachelor,764928,52705,64,1/1/00,Personal Auto,Two-Door Car,128,1,1,0
ND87334,California,Male,High School or Below,228759,36234,63,1/0/00,Corporate Auto,Two-Door Car,679,1,0,0
OY51402,Washington,Female,High School or Below,825576,54040,103,1/0/00,Personal Auto,SUV,59,1,0,0
YL74911,California,Female,College,871492,36234,118,1/0/00,Personal Auto,SUV,566,1,0,0
GK92563,Washington,Female,Doctor,681923,22492,85,1/0/00,Personal Auto,Two-Door Car,61,1,0,0
HL53154,California,Male,Bachelor,741619,36234,77,1/2/00,Personal Auto,Four-Door Car,554,1,2,0
RI78966,Oregon,Male,Master,777115,21876,68,1/0/00,Personal Auto,Four-Door Car,465,1,0,0
IC13702,California,Female,Bachelor,696834,36234,69,1/1/00,Personal Auto,Four-Door Car,496,1,1,0
BE10809,California,Female,High School or Below,425028,36234,61,1/1/00,Personal Auto,Four-Door Car,292,1,1,0
HT87217,Oregon,Female,High School or Below,1977656,70699,82,1/0/00,Personal Auto,Four-Door Car,256,1,0,0
TH95618,California,Female,High School or Below,2134346,36234,74,1/1/00,Personal Auto,Four-Door Car,355,1,1,0
TS19868,California,Male,College,241313,27501,63,1/0/00,Personal Auto,Four-Door Car,542,1,0,0
LP45550,Oregon,Female,Doctor,1536384,15897,101,1/0/00,Personal Auto,Four-Door Car,303,1,0,0
QR87004,Nevada,Female,College,845696,25141,73,1/1/00,Personal Auto,Four-Door Car,25,1,1,0
OE75747,Nevada,Female,College,218964,36234,61,1/3/00,Personal Auto,Four-Door Car,292,1,3,0
DX91392,California,Male,High School or Below,578018,51066,74,1/0/00,Personal Auto,Four-Door Car,787,1,0,0
AB72731,California,Female,Bachelor,463998,28358,117,1/0/00,Personal Auto,Sports Car,84,1,0,0
GX84338,Washington,Female,Doctor,382443,62530,95,1/0/00,Personal Auto,Four-Door Car,61,1,0,0
IS12901,Arizona,Female,Bachelor,596811,90972,74,1/0/00,Personal Auto,Two-Door Car,232,1,0,0
BN90616,Washington,Female,Bachelor,859033,63110,72,1/0/00,Personal Auto,Four-Door Car,68,1,0,0
HH90090,California,Female,Bachelor,407663,29549,104,1/0/00,Personal Auto,Sports Car,710,1,0,0
IU25463,California,Female,Bachelor,1225260,36234,115,1/1/00,Personal Auto,Four-Door Car,552,1,1,0
KC11055,Nevada,Female,Bachelor,1693627,39411,217,1/2/00,Personal Auto,Luxury Car,1122,1,2,0
PD33979,Oregon,Male,High School or Below,489243,21709,62,1/0/00,Personal Auto,Four-Door Car,408,1,0,0
NK71023,Nevada,Male,Bachelor,994230,67890,85,1/0/00,Personal Auto,Four-Door Car,408,1,0,0
AB13432,California,Male,Bachelor,373583,36234,110,1/0/00,Personal Auto,SUV,792,1,0,0
OZ97704,California,Female,High School or Below,1311752,84311,111,1/4/00,Personal Auto,SUV,532,1,4,0
UF46533,California,Female,College,457452,99316,114,1/0/00,Corporate Auto,SUV,754,1,0,0
XP47431,Arizona,Female,Bachelor,547006,54507,138,1/0/00,Personal Auto,SUV,702,1,0,0
GK73582,California,Female,Bachelor,297884,64586,76,1/0/00,Personal Auto,Four-Door Car,206,1,0,0
RV98763,Oregon,Male,College,641096,61709,82,1/2/00,Personal Auto,Four-Door Car,275,1,2,0
II62831,California,Male,Master,447902,94656,111,1/1/00,Special Auto,SUV,459,1,1,0
XK33449,California,Female,High School or Below,238373,36234,69,1/0/00,Special Auto,Two-Door Car,496,1,0,0
TR85083,California,Male,Bachelor,276449,61085,70,1/1/00,Personal Auto,Two-Door Car,336,1,1,0
EO95328,Oregon,Female,Bachelor,792010,89284,67,1/3/00,Personal Auto,Two-Door Car,321,1,3,0
EN21086,Arizona,Female,High School or Below,688909,36234,63,1/0/00,Personal Auto,Four-Door Car,302,1,0,0
YL83902,Washington,Female,Bachelor,327419,31686,81,1/0/00,Personal Auto,Four-Door Car,430,1,0,0
AZ62651,Oregon,Male,High School or Below,995170,56855,255,1/0/00,Corporate Auto,Luxury SUV,1836,1,0,0
ZW25874,Oregon,Male,Bachelor,252155,53703,67,1/2/00,Special Auto,Four-Door Car,67,1,2,0
EH41854,Washington,Female,High School or Below,2370611,36234,96,1/1/00,Personal Auto,Two-Door Car,844,1,1,0
MW70227,California,Male,College,604702,20396,76,1/1/00,Personal Auto,Four-Door Car,364,1,1,0
SL22297,California,Female,Master,1114030,27679,150,1/0/00,Personal Auto,SUV,722,1,0,0
RV14138,Nevada,Female,Bachelor,433406,23904,123,1/3/00,Personal Auto,SUV,590,1,3,0
UO62808,Arizona,Female,High School or Below,279974,65351,69,1/0/00,Corporate Auto,Four-Door Car,481,1,0,0
ZX64745,California,Male,College,792313,36234,113,1/0/00,Personal Auto,SUV,1124,1,0,0
FL34139,California,Male,High School or Below,368811,36234,63,1/3/00,Personal Auto,Four-Door Car,669,1,3,0
TS11219,California,Male,College,1206745,36234,116,1/0/00,Personal Auto,SUV,1284,1,0,0
XX12304,California,Female,College,292497,64459,72,1/0/00,Personal Auto,Four-Door Car,240,1,0,0
SD64087,California,Male,College,1501409,32961,190,1/0/00,Corporate Auto,SUV,912,1,0,0
OY38576,Oregon,Female,High School or Below,927723,71416,116,1/0/00,Corporate Auto,SUV,556,1,0,0
BG76355,Washington,Female,Bachelor,627412,68964,78,1/0/00,Personal Auto,Four-Door Car,115,1,0,0
IP66913,California,Male,High School or Below,388664,78108,98,1/0/00,Personal Auto,Two-Door Car,470,1,0,0
LE95702,California,Male,College,438627,10621,67,1/0/00,Special Auto,Four-Door Car,321,1,0,0
KX54357,Washington,Male,College,1136526,84910,95,1/0/00,Corporate Auto,Two-Door Car,383,1,0,0
EZ78112,California,Female,High School or Below,561096,77493,70,1/0/00,Special Auto,Four-Door Car,307,1,0,0
XN16891,Arizona,Male,College,291289,81097,74,1/0/00,Personal Auto,Four-Door Car,355,1,0,0
XK31350,Oregon,Female,College,691572,96610,85,1/0/00,Corporate Auto,Four-Door Car,520,1,0,0
CC30924,Oregon,Male,College,626266,30110,159,1/0/00,Corporate Auto,Sports Car,466,1,0,0
IT78748,Oregon,Female,High School or Below,650339,22081,84,1/0/00,Special Auto,Two-Door Car,451,1,0,0
KY33386,Washington,Female,High School or Below,800739,36234,112,1/0/00,Personal Auto,Sports Car,537,1,0,0
CO44221,California,Male,College,292991,98473,72,1/0/00,Personal Auto,Four-Door Car,345,1,0,0
LK60013,Oregon,Female,Bachelor,596955,97431,74,1/0/00,Personal Auto,Four-Door Car,355,1,0,0
DE21533,California,Male,Bachelor,547315,93870,69,1/0/00,Personal Auto,Four-Door Car,331,1,0,0
YS94121,Nevada,Male,High School or Below,564539,50366,72,1/0/00,Personal Auto,Four-Door Car,428,1,0,0
UK68427,Washington,Male,High School or Below,636926,34498,83,1/0/00,Personal Auto,Two-Door Car,398,1,0,0
TE49565,Oregon,Female,College,1183376,16552,103,1/0/00,Personal Auto,SUV,494,1,0,0
RA88421,Oregon,Female,College,612110,26787,77,1/0/00,Personal Auto,Four-Door Car,369,1,0,0
KQ51983,Nevada,Male,College,515936,36234,74,1/0/00,Personal Auto,Two-Door Car,831,1,0,0
CD88896,Nevada,Female,High School or Below,251459,43860,65,1/0/00,Corporate Auto,Four-Door Car,156,1,0,0
YV22553,Arizona,Male,High School or Below,866861,21474,114,1/2/00,Corporate Auto,SUV,373,1,2,0
WU14435,California,Male,Bachelor,496096,18174,66,1/0/00,Corporate Auto,Four-Door Car,395,1,0,0
XV84099,Arizona,Female,Bachelor,550413,36234,73,1/0/00,Corporate Auto,Four-Door Car,350,1,0,0
RI24911,Arizona,Male,College,750745,60920,64,1/0/00,Personal Auto,Two-Door Car,231,1,0,0
KO26461,Arizona,Male,High School or Below,3226985,41520,90,1/0/00,Personal Auto,Four-Door Car,289,1,0,0
HI14283,Oregon,Female,Bachelor,565703,36234,152,1/0/00,Personal Auto,SUV,729,1,0,0
PT50227,Arizona,Male,High School or Below,506175,36234,68,1/0/00,Personal Auto,Two-Door Car,326,1,0,0
BH36570,California,Male,Bachelor,591278,72208,73,1/0/00,Personal Auto,Two-Door Car,350,1,0,0
TX17484,California,Female,Bachelor,1518227,53863,63,1/0/00,Personal Auto,Four-Door Car,105,1,0,0
CT41158,Washington,Male,College,1074703,66446,136,1/0/00,Corporate Auto,SUV,639,1,0,0
AO87348,Washington,Male,College,205062,36234,61,1/0/00,Personal Auto,Four-Door Car,292,1,0,0
DE55857,Washington,Female,Bachelor,246544,64997,63,1/1/00,Personal Auto,Four-Door Car,383,1,1,0
LF66923,Nevada,Female,High School or Below,534312,64460,66,1/0/00,Corporate Auto,Two-Door Car,316,1,0,0
CN24514,Arizona,Female,College,811982,46618,67,1/0/00,Personal Auto,Four-Door Car,99,1,0,0
UW32074,Oregon,Female,College,460526,36234,64,1/0/00,Corporate Auto,Four-Door Car,307,1,0,0
HP36979,California,Male,College,640878,49988,84,1/5/00,Personal Auto,Two-Door Car,566,1,5,0
PP40919,California,Female,College,237653,36234,91,1/5/00,Personal Auto,Two-Door Car,436,1,5,0
RO73268,California,Male,Bachelor,321107,16269,86,1/0/00,Corporate Auto,Two-Door Car,412,1,0,0
HO61691,Arizona,Female,Bachelor,509452,72006,64,1/0/00,Personal Auto,Four-Door Car,307,1,0,0
BS13062,Arizona,Female,High School or Below,2575527,36234,81,1/2/00,Personal Auto,Four-Door Car,388,1,2,0
FO35655,Oregon,Male,Bachelor,867222,36234,245,1/0/00,Corporate Auto,Luxury SUV,2345,1,0,0
HR10526,California,Male,Master,804473,44320,67,1/0/00,Personal Auto,Four-Door Car,321,1,0,0
IA63417,Arizona,Female,High School or Below,400151,19782,108,1/0/00,Personal Auto,Two-Door Car,773,1,0,0
BH35016,Nevada,Female,Bachelor,1670611,63933,70,1/0/00,Personal Auto,Two-Door Car,424,1,0,0
PK52952,Arizona,Male,Doctor,854441,28224,109,1/0/00,Personal Auto,SUV,523,1,0,0
OD76309,Washington,Female,College,780531,21073,106,1/1/00,Personal Auto,SUV,508,1,1,0
IL28481,Oregon,Male,Bachelor,611275,63243,77,1/0/00,Personal Auto,Four-Door Car,364,1,0,0
GY55092,Nevada,Male,High School or Below,477294,20993,133,1/0/00,Personal Auto,SUV,638,1,0,0
UF33451,Oregon,Female,Bachelor,1097909,94827,135,1/0/00,Personal Auto,SUV,354,1,0,0
CF15558,California,Female,Master,500426,39161,63,1/1/00,Personal Auto,Two-Door Car,283,1,1,0
JM62924,Washington,Male,Bachelor,1322304,37534,84,1/2/00,Personal Auto,Four-Door Car,403,1,2,0
EM66435,Oregon,Female,Bachelor,262331,80210,65,1/0/00,Corporate Auto,Four-Door Car,20,1,0,0
